Date,StartTime,EndTime,Enters,Exits,Status
2014-05-11,00:00:00,00:15:00,0,0,0
2014-05-11,00:15:00,00:30:00,0,0,0
2014-05-11,00:30:00,00:45:00,0,0,0
2014-05-11,00:45:00,01:00:00,0,0,0
2014-05-11,01:00:00,01:15:00,0,0,0
2014-05-11,01:15:00,01:30:00,0,0,0
2014-05-11,01:30:00,01:45:00,0,0,0
2014-05-11,01:45:00,02:00:00,0,0,0
2014-05-11,02:00:00,02:15:00,0,0,0
2014-05-11,02:15:00,02:30:00,0,0,0
2014-05-11,02:30:00,02:45:00,0,0,0
2014-05-11,02:45:00,03:00:00,0,0,0
2014-05-11,03:00:00,03:15:00,0,0,0
2014-05-11,03:15:00,03:30:00,0,0,0
2014-05-11,03:30:00,03:45:00,0,0,0
2014-05-11,03:45:00,04:00:00,0,0,0
2014-05-11,04:00:00,04:15:00,0,0,0
2014-05-11,04:15:00,04:30:00,0,0,0
2014-05-11,04:30:00,04:45:00,0,0,0
2014-05-11,04:45:00,05:00:00,0,0,0
2014-05-11,05:00:00,05:15:00,0,0,0
2014-05-11,05:15:00,05:30:00,0,0,0
2014-05-11,05:30:00,05:45:00,0,0,0
2014-05-11,05:45:00,06:00:00,0,0,0
2014-05-11,06:00:00,06:15:00,0,0,0
2014-05-11,06:15:00,06:30:00,0,0,0
2014-05-11,06:30:00,06:45:00,0,0,0
2014-05-11,06:45:00,07:00:00,0,0,0
2014-05-11,07:00:00,07:15:00,0,0,0
2014-05-11,07:15:00,07:30:00,0,0,0
2014-05-11,07:30:00,07:45:00,0,0,0
2014-05-11,07:45:00,08:00:00,0,0,0
2014-05-11,08:00:00,08:15:00,0,0,0
2014-05-11,08:15:00,08:30:00,0,0,0
2014-05-11,08:30:00,08:45:00,0,0,0
2014-05-11,08:45:00,09:00:00,0,0,0
2014-05-11,09:00:00,09:15:00,0,0,0
2014-05-11,09:15:00,09:30:00,0,0,4
2014-05-11,09:30:00,09:45:00,3,2,0
2014-05-11,09:45:00,10:00:00,3,3,0
2014-05-11,10:00:00,10:15:00,0,0,0
2014-05-11,10:15:00,10:30:00,1,1,0
2014-05-11,10:30:00,10:45:00,5,4,0
2014-05-11,10:45:00,11:00:00,13,7,0
2014-05-11,11:00:00,11:15:00,2,9,0
2014-05-11,11:15:00,11:30:00,3,3,0
2014-05-11,11:30:00,11:45:00,5,5,0
2014-05-11,11:45:00,12:00:00,14,11,0
2014-05-11,12:00:00,12:15:00,1,3,0
2014-05-11,12:15:00,12:30:00,1,1,0
2014-05-11,12:30:00,12:45:00,2,1,0
2014-05-11,12:45:00,13:00:00,3,3,0
2014-05-11,13:00:00,13:15:00,7,5,0
2014-05-11,13:15:00,13:30:00,14,15,0
2014-05-11,13:30:00,13:45:00,4,4,0
2014-05-11,13:45:00,14:00:00,2,2,0
2014-05-11,14:00:00,14:15:00,5,4,0
2014-05-11,14:15:00,14:30:00,5,4,0
2014-05-11,14:30:00,14:45:00,13,15,0
2014-05-11,14:45:00,15:00:00,7,6,0
2014-05-11,15:00:00,15:15:00,1,1,0
2014-05-11,15:15:00,15:30:00,8,8,0
2014-05-11,15:30:00,15:45:00,4,4,0
2014-05-11,15:45:00,16:00:00,3,3,0
2014-05-11,16:00:00,16:15:00,1,1,0
2014-05-11,16:15:00,16:30:00,5,5,0
2014-05-11,16:30:00,16:45:00,3,3,0
2014-05-11,16:45:00,17:00:00,5,3,0
2014-05-11,17:00:00,17:15:00,6,9,0
2014-05-11,17:15:00,17:30:00,4,4,0
2014-05-11,17:30:00,17:45:00,0,0,0
2014-05-11,17:45:00,18:00:00,0,0,4
2014-05-11,18:00:00,18:15:00,0,0,0
2014-05-11,18:15:00,18:30:00,0,0,0
2014-05-11,18:30:00,18:45:00,0,0,0
2014-05-11,18:45:00,19:00:00,0,0,0
2014-05-11,19:00:00,19:15:00,0,0,0
2014-05-11,19:15:00,19:30:00,0,0,0
2014-05-11,19:30:00,19:45:00,0,0,0
2014-05-11,19:45:00,20:00:00,0,0,0
2014-05-11,20:00:00,20:15:00,0,0,0
2014-05-11,20:15:00,20:30:00,0,0,0
2014-05-11,20:30:00,20:45:00,0,0,0
2014-05-11,20:45:00,21:00:00,0,0,0
2014-05-11,21:00:00,21:15:00,0,0,0
2014-05-11,21:15:00,21:30:00,0,0,0
2014-05-11,21:30:00,21:45:00,0,0,0
2014-05-11,21:45:00,22:00:00,0,0,0
2014-05-11,22:00:00,22:15:00,0,0,0
2014-05-11,22:15:00,22:30:00,0,0,0
2014-05-11,22:30:00,22:45:00,0,0,0
2014-05-11,22:45:00,23:00:00,0,0,0
2014-05-11,23:00:00,23:15:00,0,0,0
2014-05-11,23:15:00,23:30:00,0,0,0
2014-05-11,23:45:00,00:00:00,0,0,0
